char,dialogue,episode
THREEPIO,Did you hear that?  They've shut down the main reactor.  We'll be destroyed for sure.  This is madness!,episode4
THREEPIO,We're doomed!,episode4
THREEPIO,There'll be no escape for the Princess this time.,episode4
THREEPIO,What's that?,episode4
THREEPIO,I should have known better than to trust the logic of a half-sized thermocapsulary dehousing assister...,episode4
LUKE,Hurry up!  Come with me!  What are you waiting for?!  Get in gear!,episode4
THREEPIO,"Artoo! Artoo-Detoo, where are you?",episode4
THREEPIO,At last!  Where have you been?,episode4
THREEPIO,They're heading in this direction. What are we going to do?  We'll be sent to the spice mines of Kessel or smashed into who knows what!,episode4
THREEPIO,"Wait a minute, where are you going?",episode4
IMPERIAL OFFICER,The Death Star plans are not in the main computer.,episode4
VADER,Where are those transmissions you intercepted?,episode4
REBEL OFFICER,We intercepted no transmissions. Aaah...  This is a consular ship. Were on a diplomatic mission.,episode4
VADER,If this is a consular ship... where is the Ambassador?,episode4
VADER,"Commander, tear this ship apart until you've found those plans and bring me the Ambassador.  I want her alive!",episode4
TROOPER,There she is! Set for stun!,episode4
TROOPER,She'll be all right. Inform Lord Vader we have a prisoner.,episode4
THREEPIO,"Hey, you're not permitted in there.  It's restricted. You'll be deactivated for sure..",episode4
THREEPIO,"Don't call me a mindless philosopher, you overweight glob of grease!  Now come out before somebody sees you.",episode4
THREEPIO,Secret mission?  What plans?  What are you talking about?  I'm not getting in there!,episode4
THREEPIO,I'm going to regret this.,episode4
CHIEF PILOT,There goes another one.,episode4
CAPTAIN,Hold your fire.  There are no life forms.  It must have been short-circuited.,episode4
THREEPIO,"That's funny, the damage doesn't look as bad from out here.",episode4
THREEPIO,Are you sure this things safe?,episode4
WOMAN,I've told you kids to slow down!,episode4
FIXER,Did I hear a young noise blast through here?,episode4
CAMIE,It was just Wormie on another rampage.,episode4
LUKE,Shape it up you guys!...  Biggs?,episode4
LUKE,I didn't know you were back!  When did you get in?,episode4
BIGGS,"Just now.  I wanted to surprise you, hot shot.  I thought you'd be here... certainly didn't expect you to be out working. ",episode4
LUKE,"The Academy didn't change you much... but you're back so soon?  Hey, what happened, didn't you get your commission?",episode4
BIGGS,Of course I got it.  Signed aboard The Rand Ecliptic last week.  First mate Biggs Darklighter at your service...... I just came back to say goodbye to all you unfortunate landlocked simpletons.,episode4
LUKE,I almost forgot.  There's a battle going on!  Right here in our system.  Come and look!,episode4
DEAK,Not again!  Forget it.,episode4
LUKE,There they are!,episode4
BIGGS,"That's no battle, hot shot... they're just sitting there!  Probably a freighter-tanker refueling.",episode4
LUKE,But there was a lot of firing earlier...,episode4
LUKE,"Hey, easy with those...",episode4
CAMIE,"Don't worry about it, Wormie.",episode4
FIXER,"I keep telling you, the Rebellion is a long way from here.  I doubt if the Empire would even fight to keep this system.  Believe me Luke, this planet is a big hunk of nothing...",episode4
LEIA,"Lord Vader, I should have known.  Only you could be so bold.  The Imperial Senate will not sit stillfor this, when they hear you've attacked a diplomatic...",episode4
VADER,"Don't play games with me, Your Highness.  You weren't on any mercy mission this time.  You passed directly through a restricted system.  Several transmissions were beamed to this ship by Rebel spies.  I want to know what happened to the plans they sent you.",episode4
LEIA,I don't know what you're talking about.  I'm a member of the Imperial Senate on a diplomatic mission to Alderaan...,episode4
VADER,You're a part of the Rebel Alliance... and a traitor.  Take her away!,episode4
COMMANDER,"Holding her is dangerous.  If word of this gets out, it could generate sympathy for the Rebellion in the senate.",episode4
VADER,I have traced the Rebel spies to her.  Now she is my only link to find their secret base!,episode4
COMMANDER,you anything.,episode4
VADER,Leave that to me.  Send a distress signal and then inform the senate that all aboard were killed!,episode4
SECOND OFFICER,"Lord Vader, the battle station plans are not aboard this ship!  And no transmissions were made.  An escape pod was jettisoned during the fighting, but no life forms were aboard.",episode4
VADER,"She must have hidden the plans in the escape pod.  Send a detachment down to retrieve them.  See to it personally, Commander.  There'll be no one to stop us this time.",episode4
COMMANDER,"Yes, sir.",episode4
THREEPIO,How did I get into this mess?  I really don't know how.  We seem to be made to suffer.  It's our lot in life.,episode4
THREEPIO,I've got to rest before I fall apart.  My joints are almost frozen. ,episode4
THREEPIO,What a desolate place this is.,episode4
THREEPIO,Where are you going?,episode4
THREEPIO,"Well, I'm not going that way.  It's much too rocky.  This way is much easier.",episode4
THREEPIO,What makes you think there are settlements over there?,episode4
THREEPIO,Don't get technical with me.,episode4
THREEPIO,"What mission?  What are you talking about?  I've had just about enough of you!  Go that way!  You'll be malfunctioning within a day, you nearsighted scrap pile!",episode4
THREEPIO,"And don't let me catch you following me begging for help, because you won't get it.",episode4
THREEPIO,No more adventures.  I'm not going that way.,episode4
THREEPIO,"That malfunctioning little twerp.  This is all his fault!  He tricked me into going this way, but he'll do no better.",episode4
THREEPIO,"Wait, what's that?  A transport!  I'm saved!",episode4
THREEPIO,"Over here!  Help!  Please, help!",episode4
LUKE,"... so I cut off my power, shut down the afterburners and came in low on Deak's trail.  I was so close I thought I was going to fry my instruments. As it was I busted up the Skyhopper pretty bad.  Uncle Owen was pretty upset.  He grounded me for the rest of the season.  You should have been there... it was fantastic.",episode4
BIGGS,"You ought to take it a little easy Luke.  You may be the hottest bushpilot this side of Mos Eisley, but those little Skyhoppers are dangerous.  Keep it up, and one day, whammo, you're going to be nothing more than a dark spot on the down side of a canyon wall.",episode4
LUKE,Look who's talking.  Now that you've been around those giant starships you're beginning to sound like my uncle. You've gotten soft in the city...,episode4
BIGGS,I've missed you kid.,episode4
LUKE,"Well, things haven't been the same since you left, Biggs.  It's been so...quiet.",episode4
BIGGS,"Luke, I didn't come back just to say goodbye...  I shouldn't tell you this, but you're the only one I can trust... and if I don't come back, I want somebody to know.",episode4
LUKE,What are you talking about?,episode4
BIGGS,"I made some friends at the Academy. ... when our frigate goes to one of the central systems, we're going to jump ship and join the Alliance...",episode4
LUKE,Join the Rebellion?!  Are you kidding!  How?,episode4
BIGGS,Quiet down will ya!  You got a mouth bigger than a meteor crater!,episode4
LUKE,I'm sorry.  I'm quiet. Listen how quiet I am.  You can barely hear me...,episode4
BIGGS,My friend has a friend on Bestine who might help us make contact.,episode4
LUKE,around forever trying to find them.,episode4
BIGGS,"I know it's a long shot, but if I don't find them I'll do what I can on my own...  It's what we always talked about.  Luke, I'm not going to wait for the Empire to draft me into service.  The Rebellion is spreading and I want to be on the right side - the side I believe in. ",episode4
LUKE,And I'm stuck here...,episode4
BIGGS,I thought you were going to the Academy next term.  You'll get your chance to get off this rock.,episode4
LUKE,Not likely!  I had to cancel my application.  There has been a lot of unrest among the Sand People since you left... they've even raided the outskirts of Anchorhead.,episode4
BIGGS,Your uncle could hold off a whole colony of Sand People with one blaster.,episode4
LUKE,"I know, but he's got enough vaporators going to make the place pay off.  He needs me for just one more season.  I can't leave him now.",episode4
BIGGS,"I feel for you, Luke, you're going to have to learn what seems to be important or what really is important.  What good is all your uncle's work if it's taken over by the Empire?...  You know they're starting to nationalize commerce in the central systems...it won't be long before your uncle is merely a tenant, slaving for the greater glory of the Empire.",episode4
LUKE,It couldn't happen here.  You said it yourself.  The Empire won't bother with this rock.,episode4
BIGGS,Things always change.,episode4
LUKE,I wish I was going...  Are you going to be around long? ,episode4
BIGGS,"No, I'm leaving in the morning...",episode4
LUKE,Then I guess I won't see you.,episode4
BIGGS,Maybe someday...  I'll keep a lookout.,episode4
LUKE,"Well, I'll be at the Academy next season... after that who knows.  I won't be drafted into the Imperial Starfleet that's for sure...  Take care of yourself, you'll always be the best friend I've got.",episode4
BIGGS,"So long, Luke.",episode4
THREEPIO,Artoo-Detoo!  It's you!  It's you!,episode4
FIRST TROOPER,Someone was in the pod.  The tracks go off in this direction. ,episode4
SECOND TROOPER,"Look, sir - droids.",episode4
THREEPIO,Wake up!  Wake up!,episode4
THREEPIO,We're doomed.,episode4
THREEPIO,Do you think they'll melt us down?,episode4
THREEPIO,Don't shoot!  Don't shoot!  Will this never end?,episode4
BERU,"Luke, tell Owen that if he gets a translator to be sure it speaks Bocce.",episode4
LUKE,It looks like we don't have much of a choice but I'll remind him.,episode4
OWEN,I have no need for a protocol droid.,episode4
THREEPIO,Sir - not in an environment such as this - that's why I've also been programmed for over thirty secondary functions that...,episode4
OWEN,What I really need is a droid that understands the binary languages of moisture vaporators.,episode4
THREEPIO,Vaporators!  Sir - My first job was programming binary load lifters... very similar to your vaporators.  You could say...,episode4
OWEN,Do you speak Bocce?,episode4
THREEPIO,"Of course I can, sir.  It's like a second language for me...  I'm as fluent in Bocce...",episode4
OWEN,All right; shut up! I'll take this one.,episode4
THREEPIO,"Shutting up, sir.",episode4
OWEN,"Luke, take these two over to the garage, will you?  I want you to have both of them cleaned up before dinner.",episode4
LUKE,But I was going into Toshi Station to pick up some power converters...,episode4
OWEN,"You can waste time with your friends when your chores are done.  Now, come on, get to it!",episode4
LUKE,"All right, come on!  And the red one, come on.  Well, come on, Red, let's go.",episode4
LUKE,Uncle Owen...,episode4
OWEN,Yeah?,episode4
LUKE,This R2 unit has a bad motivator.  Look!,episode4
OWEN,"Hey, what're you trying to push on us?",episode4
THREEPIO,"Excuse me, sir, but that R2 unit is in prime condition.  A real bargain.",episode4
LUKE,Uncle Owen...,episode4
OWEN,Yeah?,episode4
LUKE,What about that one?,episode4
OWEN,What about that blue one?  We'll take that one.,episode4
LUKE,"Yeah, take it away.",episode4
THREEPIO,"Uh, I'm quite sure you'll be very pleased with that one, sir.  He really is in first-class condition.  I've worked with him before.  Here he comes.",episode4
LUKE,"Okay, let's go.",episode4
THREEPIO,"Now, don't forget this!  Why I should stick my neck out for you is quite beyond my capacity!",episode4
THREEPIO,"Thank the maker!  This oil bath is going to feel so good.  I've got such a bad case of dust contamination, I can barely move!",episode4
LUKE,"It just isn't fair.  Oh, Biggs is right.  I'm never gonna get out of here!",episode4
THREEPIO,Is there anything I might do to help? ,episode4
LUKE,"Well, not unless you can alter time, speed up the harvest, or teleport me off this rock!",episode4
THREEPIO,"I don't think so, sir.  I'm only a droid and not very knowledgeable about such things.  Not on this planet, anyways.  As a matter of fact, I'm not even sure which planet I'm on.",episode4
LUKE,"Well, if there's a bright center to the universe, you're on the planet that it's farthest from.",episode4
THREEPIO,"I see, sir.",episode4
LUKE,"Uh, you can call me Luke.",episode4
THREEPIO,"I see, sir Luke.",episode4
LUKE,Just Luke.,episode4
THREEPIO,"And I am See-Threepio, human-cyborg relations, and this is my counterpart, Artoo-Detoo.",episode4
LUKE,Hello.,episode4
LUKE,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.,episode4
THREEPIO,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all.",episode4
